id,total_amount
1,5.8
2,7.3
3,13.55
4,7.3
5,17.3
6,7.3
7,21.96
8,14.16
9,12.96
10,27.35
11,10.3
12,9.45
13,12.8
14,57.84
15,7.8
16,11.33
17,7.8
18,27.36
19,31.0
20,21.95
21,4.56
22,12.7
23,12.96
24,7.3
25,6.8
26,12.95
27,11.8
28,7.88
29,21.36
30,9.8
31,13.8
32,5.76
33,11.3
34,9.3
35,27.3
36,7.56
37,4.8
38,42.3
39,8.76
40,7.8
41,41.21
42,65.76
43,7.3
44,19.3
45,26.76
46,9.36
47,43.01
48,5.3
49,36.39
50,59.15
51,11.3
52,8.8
53,6.35
54,7.3
55,12.95
56,18.35
57,10.55
58,18.36
59,11.15
60,14.16
61,10.3
62,16.0
63,12.5
64,40.3
65,11.8
66,20.3
67,5.8
68,9.3
69,7.25
70,11.3
71,6.8
72,25.3
73,16.8
74,17.88
75,9.96
76,37.8
77,55.34
78,19.75
79,7.3
80,17.25
81,7.56
82,7.88
83,33.36
84,28.3
85,40.01
86,10.3
87,22.88
88,7.3
89,19.8
90,14.8
91,5.8
92,6.8
93,12.85
94,7.0
95,11.3
96,9.35
97,11.75
98,12.85
99,14.15
100,48.3
101,5.8
102,37.61
103,10.75
104,4.8
105,11.3
106,16.8
107,9.36
108,22.38
109,6.8
110,14.8
111,9.75
112,9.3
113,6.3
114,7.25
115,8.3
116,7.8
117,13.3
118,19.3
119,7.55
120,8.16
121,22.3
122,36.62
123,8.03
124,15.8
125,10.8
126,16.56
127,17.75
128,26.16
129,15.99
130,18.3
131,9.55
132,8.16
133,20.15
134,9.12
135,12.8
136,7.3
137,9.8
138,5.8
139,13.3
140,8.3
141,17.8
142,12.95
143,21.95
144,15.35
145,10.55
146,45.8
147,26.3
148,20.15
149,7.8
150,12.88
151,13.56
152,15.38
153,7.8
154,6.8
155,8.75
156,10.3
157,8.84
158,13.55
159,9.8
160,12.8
161,21.62
162,5.3
163,15.95
164,7.8
165,27.25
166,16.3
167,8.3
168,9.3
169,11.16
170,14.16
171,14.75
172,7.8
173,8.84
174,24.4
175,11.75
176,9.8
177,26.3
178,8.8
179,8.58
180,9.3
181,7.56
182,7.8
183,11.6
184,9.35
185,6.3
186,6.8
187,15.3
188,16.8
189,6.8
190,14.8
191,6.35
192,17.88
193,5.16
194,8.3
195,6.8
196,22.3
197,7.56
198,11.3
199,23.76
200,7.8
201,40.34
202,5.76
203,11.6
204,7.3
205,8.5
206,33.3
207,4.8
208,11.76
209,14.3
210,12.3
211,21.8
212,28.54
213,55.84
214,11.3
215,12.8
216,20.3
217,25.3
218,9.75
219,9.3
220,11.3
221,58.59
222,64.61
223,42.69
224,9.36
225,8.8
226,5.8
227,17.15
228,10.75
229,24.0
230,8.19
231,11.15
232,13.3
233,25.8
234,10.3
235,21.95
236,16.3
237,17.15
238,18.95
239,27.8
240,19.3
241,8.8
242,8.3
243,6.3
244,7.8
245,14.75
246,6.96
247,16.3
248,13.8
249,4.8
250,8.3
251,47.34
252,13.8
253,18.96
254,8.8
255,9.95
256,15.3
257,20.76
258,6.3
259,31.8
260,9.3
261,7.3
262,10.3
263,21.62
264,8.3
265,31.3
266,6.8
267,28.84
268,8.8
269,5.8
270,12.3
271,17.15
272,10.3
273,10.3
274,25.55
275,7.0
276,36.99
277,24.36
278,10.55
279,19.3
280,12.35
281,12.96
282,7.3
283,10.14
284,10.3
285,26.8
286,26.15
287,19.3
288,6.8
289,18.8
290,4.8
291,15.36
292,6.35
293,9.36
294,11.3
295,22.9
296,5.37
297,7.56
298,20.3
299,9.3
300,21.8
301,59.19
302,10.3
303,10.3
304,8.8
305,10.3
306,18.36
307,3.8
308,10.8
309,17.16
310,15.8
311,11.16
312,4.3
313,6.3
314,6.3
315,7.8
316,14.8
317,8.8
318,27.25
319,12.95
320,9.36
321,8.76
322,14.75
323,5.3
324,7.55
325,9.8
326,15.3
327,10.3
328,12.3
329,15.3
330,9.36
331,7.3
332,14.12
333,13.8
334,6.8
335,12.8
336,12.36
337,8.5
338,15.95
339,27.3
340,4.8
341,13.3
342,7.88
343,11.75
344,8.8
345,15.35
346,13.56
347,14.76
348,13.56
349,53.16
350,18.3
351,8.3
352,15.96
353,12.35
354,5.8
355,5.3
356,38.16
357,10.55
358,5.8
359,29.76
360,7.8
361,8.75
362,9.3
363,13.5
364,6.96
365,6.95
366,11.76
367,5.3
368,13.8
369,7.3
370,21.3
371,19.03
372,14.15
373,12.96
374,8.15
375,6.8
376,34.3
377,9.95
378,4.3
379,9.96
380,46.56
381,11.75
382,10.3
383,8.8
384,26.3
385,14.16
386,29.3
387,13.55
388,8.5
389,20.16
390,38.34
391,7.3
392,10.14
393,47.84
394,14.13
395,12.8
396,20.76
397,10.3
398,12.95
399,8.3
400,18.96
401,19.3
402,6.8
403,12.3
404,22.56
405,7.56
406,8.3
407,8.8
408,9.8
409,12.95
410,6.8
411,18.5
412,47.8
413,13.3
414,7.8
415,13.8
416,11.3
417,9.8
418,9.0
419,17.76
420,38.09
421,13.3
422,17.8
423,10.8
424,53.81
425,6.3
426,7.8
427,18.95
428,10.3
429,12.25
430,24.8
431,18.5
432,20.8
433,14.76
434,12.3
435,24.36
436,5.8
437,42.84
438,10.55
439,19.1
440,13.3
441,10.8
442,8.8
443,10.56
444,32.88
445,9.8
446,28.55
447,27.8
448,23.16
449,8.8
450,33.8
451,37.84
452,8.8
453,10.5
454,11.3
455,30.35
456,11.75
457,21.8
458,60.8
459,15.35
460,17.16
461,6.24
462,14.8
463,11.2
464,7.8
465,20.75
466,16.6
467,17.3
468,9.3
469,7.8
470,12.63
471,9.3
472,7.8
473,20.3
474,21.8
475,45.84
476,9.1
477,15.3
478,5.3
479,6.3
480,15.8
481,9.96
482,12.36
483,10.8
484,9.95
485,7.3
486,14.15
487,4.3
488,15.02
489,20.75
490,10.8
491,8.16
492,9.8
493,6.8
494,6.36
495,11.8
496,12.95
497,11.3
498,10.56
499,14.76
500,30.34
501,6.3
502,12.8
503,38.75
504,33.95
505,6.0
506,9.36
507,12.88
508,53.34
509,7.8
510,19.3
511,9.8
512,7.3
513,13.56
514,36.34
515,9.75
516,11.0
517,21.95
518,7.3
519,9.35
520,12.8
521,14.16
522,9.95
523,11.8
524,36.3
525,11.3
526,6.3
527,5.75
528,6.3
529,11.0
530,9.8
531,7.3
532,17.8
533,15.96
534,21.0
535,13.56
536,24.8
537,12.35
538,5.38
539,7.25
540,11.0
541,15.3
542,18.5
543,9.96
544,15.38
545,15.35
546,16.8
547,15.36
548,15.8
549,11.75
550,8.3
551,9.3
552,12.96
553,13.3
554,13.56
555,12.8
556,30.8
557,15.34
558,25.56
559,10.8
560,33.34
561,16.56
562,6.8
563,8.3
564,17.15
565,8.16
566,35.34
567,14.3
568,9.75
569,16.3
570,23.8
571,7.25
572,13.3
573,6.8
574,9.95
575,12.8
576,10.3
577,16.3
578,11.3
579,6.96
580,7.56
581,7.56
582,19.9
583,13.56
584,5.3
585,12.96
586,16.44
587,14.69
588,12.3
589,9.96
590,9.3
591,11.3
592,7.3
593,19.0
594,9.75
595,9.3
596,15.38
597,8.16
598,10.0
599,10.8
600,9.95
601,11.15
602,41.21
603,24.35
604,25.84
605,16.3
606,9.8
607,10.8
608,46.34
609,6.3
610,9.3
611,19.8
612,11.3
613,10.38
614,14.16
615,13.3
616,4.8
617,26.16
618,6.35
619,18.5
620,9.3
621,11.3
622,14.76
623,8.15
624,26.3
625,6.3
626,24.36
627,19.3
628,10.56
629,8.84
630,14.8
631,4.8
632,9.45
633,7.55
634,8.8
635,7.55
636,18.36
637,18.35
638,4.3
639,21.96
640,20.8
641,18.3
642,21.96
643,12.3
644,9.75
645,11.15
646,16.3
647,21.8
648,20.76
649,9.8
650,12.8
651,11.75
652,12.96
653,15.95
654,14.0
655,11.76
656,10.8
657,11.85
658,8.3
659,26.8
660,6.3
661,8.8
662,11.3
663,9.12
664,9.35
665,13.3
666,6.96
667,13.8
668,22.56
669,15.3
670,12.8
671,5.3
672,12.95
673,8.3
674,15.8
675,25.3
676,17.3
677,67.92
678,13.56
679,8.15
680,9.75
681,24.35
682,8.8
683,36.0
684,52.89
685,18.8
686,6.8
687,10.8
688,23.75
689,17.76
690,10.38
691,11.8
692,21.35
693,8.15
694,41.68
695,15.8
696,9.36
697,9.8
698,11.62
699,63.84
700,12.3
701,13.55
702,23.75
703,11.3
704,9.3
705,21.96
706,11.0
707,13.8
708,23.3
709,7.3
710,7.55
711,11.3
712,14.75
713,14.12
714,12.8
715,8.3
716,21.3
717,14.76
718,7.56
719,8.3
720,8.76
721,15.8
722,7.56
723,15.96
724,10.55
725,21.8
726,10.35
727,11.16
728,9.8
729,14.1
730,7.3
731,12.8
732,25.3
733,6.24
734,7.3
735,13.5
736,9.3
737,15.3
738,8.3
739,7.8
740,23.8
741,30.96
742,8.8
743,37.3
744,8.15
745,5.76
746,3.8
747,11.3
748,18.8
749,11.9
750,14.8
751,6.8
752,9.3
753,21.95
754,10.3
755,11.0
756,8.8
757,16.55
758,12.96
759,26.3
760,10.55
761,5.8
762,20.8
763,9.8
764,18.8
765,42.95
766,5.8
767,12.35
768,9.96
769,12.96
770,6.8
771,14.75
772,8.76
773,11.3
774,19.3
775,12.8
776,11.8
777,16.8
778,6.95
779,12.3
780,12.8
781,6.8
782,7.3
783,7.85
784,7.8
785,29.76
786,14.16
787,22.56
788,8.3
789,10.8
790,17.3
791,4.3
792,7.3
793,13.8
794,8.16
795,11.8
796,12.25
797,5.8
798,12.3
799,10.0
800,11.15
801,6.8
802,16.55
803,7.3
804,18.35
805,14.3
806,23.8
807,15.8
808,14.3
